Case_ID,Activity,Start_Time,EndTime,team
1288,Status In Progress,2025-06-11T12:21:07.416000,2025-06-11T12:21:07.622000,Sales - APAC
1188,Status Response Received,2025-06-11T17:15:05.225000,2025-06-11T17:15:05.225000,Sales - Field
1147,Status Response Received,2025-06-11T19:06:42.842000,2025-06-11T19:06:42.842000,Sales - AMER
1167,Status Waiting for Customer,2025-06-11T12:31:47.945000,2025-06-11T12:31:47.945000,Sales - Enterprise
1147,Status Response Received,2025-06-11T12:31:47.576000,2025-06-11T12:31:47.576000,Sales - Enterprise
1189,Status Response Received,2025-06-11T18:07:41.567000,2025-06-11T18:07:41.567000,Sales - Field
1256,Status In Progress,2025-06-11T19:05:43.296000,2025-06-11T19:05:43.872000,Sales - Online
1278,Status In Progress,2025-06-11T12:31:47.576000,2025-06-11T12:31:47.576000,Sales - Online
1116,Status Response Received,2025-06-11T12:31:53.862000,2025-06-11T12:32:06.113000,Sales - Field
1241,Status Escalated,2025-06-11T19:05:28.844000,2025-06-11T19:05:43.119000,Sales - Online
1283,Status On Hold,2025-06-11T12:21:07.622000,2025-06-11T12:21:07.748000,Sales - APAC
1063,Status Waiting for Customer,2025-06-11T19:13:15.067000,2025-06-11T19:13:17.526000,Sales - Enterprise
1228,Status Response Received,2025-06-11T12:31:48.387000,2025-06-11T12:31:48.387000,Sales - Field
1072,Status In Progress,2025-06-11T12:21:07.622000,2025-06-11T12:21:07.748000,Sales - Enterprise
1084,Status Escalated,2025-06-11T12:23:12.913000,2025-06-11T12:23:13.062000,Sales - EMEA
1182,Status In Progress,2025-06-11T12:32:09.709000,2025-06-11T12:32:09.709000,Sales - APAC
1185,Status Waiting for Customer,2025-06-11T12:31:47.182000,2025-06-11T12:31:47.182000,Sales - SMB
1210,Created.,2025-06-11T19:05:27.937000,2025-06-11T19:05:28.844000,Sales - APAC
1227,Status Waiting for Customer,2025-06-11T19:13:55.754000,2025-06-11T19:13:55.754000,Sales - Field
1254,Status Escalated,2025-06-11T19:12:28.653000,2025-06-11T19:12:28.653000,Sales - SMB
1256,Status Response Received,2025-06-11T12:32:09.709000,2025-06-11T12:32:09.709000,Finance
1074,Status In Progress,2025-06-11T17:14:56.217000,2025-06-11T17:15:00.921000,Sales - Field
1171,Status In Progress,2025-06-11T19:13:12.036000,2025-06-11T19:13:12.036000,Sales - AMER
1140,Status On Hold,2025-06-11T19:06:33.862000,2025-06-11T19:06:33.862000,Sales - Enterprise
1079,Status On Hold,2025-06-11T19:06:29.887000,2025-06-11T19:06:35.776000,Sales - EMEA
1225,Created.,2025-06-11T19:12:27.144000,2025-06-11T19:12:27.144000,Sales - Enterprise
1285,Status Waiting for Customer,2025-06-11T18:08:10.491000,2025-06-11T18:08:10.491000,Sales - Online
1214,Status Waiting for Customer,2025-06-11T19:13:54.551000,2025-06-11T19:13:55.086000,Sales - AMER
1275,Status Response Received,2025-06-11T19:12:25.409000,2025-06-11T19:12:25.409000,Sales - AMER
1063,Status On Hold,2025-06-11T19:13:22.472000,2025-06-11T19:13:22.974000,Sales - EMEA
1213,Status Waiting for Customer,2025-06-11T19:13:17.561000,2025-06-11T19:13:19.243000,Sales - AMER
1274,Created.,2025-06-11T17:15:32.687000,2025-06-11T17:15:38.225000,Sales - SMB
1153,Status In Progress,2025-06-11T12:31:47.576000,2025-06-11T12:31:47.576000,Sales - AMER
1243,Status Working,2025-06-11T19:10:43.736000,2025-06-11T19:10:43.736000,Sales - Enterprise
1256,Created.,2025-06-11T19:12:27.721000,2025-06-11T19:12:28.253000,Sales - Enterprise
1171,Status Waiting for Customer,2025-06-11T18:08:10.491000,2025-06-11T18:08:10.491000,Sales - Field
1161,Status On Hold,2025-06-11T19:13:53.979000,2025-06-11T19:13:53.979000,Sales - Enterprise
1080,Status On Hold,2025-06-11T12:20:45.680000,2025-06-11T12:20:47.962000,Sales - Field
1138,Created.,2025-06-11T17:14:52.423000,2025-06-11T17:14:53.854000,Sales - Enterprise
1149,Status Working,2025-06-11T12:23:41.586000,2025-06-11T12:24:04.509000,Sales - SMB
1177,Status On Hold,2025-06-11T12:20:50.695000,2025-06-11T12:20:51.270000,Sales - Field
1269,Status Waiting for Customer,2025-06-11T12:22:44.617000,2025-06-11T12:22:45.320000,Sales - APAC
1091,Status On Hold,2025-06-11T12:21:09.764000,2025-06-11T12:21:10.105000,Sales - Online
1184,Status On Hold,2025-06-11T12:23:13.062000,2025-06-11T12:23:13.272000,Sales - EMEA
1271,Status Waiting for Customer,2025-06-11T12:32:08.247000,2025-06-11T12:32:08.247000,Sales - Enterprise
950,Status Working,2025-06-11T19:06:56.926000,2025-06-11T19:06:56.926000,Sales - AMER
1185,Status Response Received,2025-06-11T12:31:48.387000,2025-06-11T12:31:48.387000,Sales - Enterprise
1201,Status On Hold,2025-06-11T17:15:01.319000,2025-06-11T17:15:01.319000,Sales - AMER
1142,Status Escalated,2025-06-11T19:10:57.620000,2025-06-11T19:11:01.479000,Finance
1106,Status Working,2025-06-11T19:05:31.855000,2025-06-11T19:05:31.855000,Sales - Online
1272,Status Waiting for Customer,2025-06-11T19:12:46.816000,2025-06-11T19:12:46.816000,Sales - Online
1197,Status On Hold,2025-06-11T12:20:45.680000,2025-06-11T12:20:47.962000,Sales - AMER
1270,Status In Progress,2025-06-11T12:31:47.945000,2025-06-11T12:31:47.945000,Finance
1251,Status Response Received,2025-06-11T12:21:44.860000,2025-06-11T12:21:57.523000,Sales - Online
1172,Status Working,2025-06-11T19:13:03.328000,2025-06-11T19:13:12.018000,Sales - SMB
1162,Status On Hold,2025-06-11T19:06:29.320000,2025-06-11T19:06:29.320000,Sales - Field
1069,Status Response Received,2025-06-11T12:24:04.732000,2025-06-11T12:24:05.015000,Sales - AMER
1167,Status Waiting for Customer,2025-06-11T12:32:09.709000,2025-06-11T12:32:09.709000,Sales - AMER
1161,Status Working,2025-06-11T12:24:09.831000,2025-06-11T12:24:10.035000,Sales - Enterprise
1284,Created.,2025-06-11T19:12:26.184000,2025-06-11T19:12:27.392000,Sales - AMER
1102,Status Waiting for Customer,2025-06-11T19:11:04.281000,2025-06-11T19:11:04.818000,Sales - AMER
1187,Created.,2025-06-11T12:24:07.004000,2025-06-11T12:24:07.065000,Sales - Online
1120,Status Working,2025-06-11T17:15:42.783000,2025-06-11T17:15:42.783000,Sales - Enterprise
1242,Status Waiting for Customer,2025-06-11T19:13:22.974000,2025-06-11T19:13:30.485000,Sales - Online
1075,Status On Hold,2025-06-11T12:21:07.622000,2025-06-11T12:21:07.748000,Sales - Field
1209,Status On Hold,2025-06-11T19:12:44.038000,2025-06-11T19:12:44.038000,Sales - Field
1187,Status Waiting for Customer,2025-06-11T12:31:46.619000,2025-06-11T12:31:50.433000,Sales - Online
1082,Status On Hold,2025-06-11T12:23:01.100000,2025-06-11T12:23:11.151000,Sales - Field
1233,Created.,2025-06-11T19:04:57.432000,2025-06-11T19:05:11.690000,Sales - Enterprise
1190,Status Response Received,2025-06-11T12:24:05.015000,2025-06-11T12:24:07.004000,Sales - EMEA
1194,Status Escalated,2025-06-11T19:12:28.653000,2025-06-11T19:12:28.653000,Sales - Online
1202,Status Response Received,2025-06-11T18:08:15.115000,2025-06-11T18:08:15.922000,Sales - SMB
1233,Status Escalated,2025-06-11T19:10:44.247000,2025-06-11T19:10:48.890000,Sales - SMB
1169,Status Response Received,2025-06-11T19:13:18.991000,2025-06-11T19:13:18.991000,Marketing
1181,Status Working,2025-06-11T12:23:41.586000,2025-06-11T12:24:04.509000,Sales - Field
1086,Status On Hold,2025-06-11T12:21:07.748000,2025-06-11T12:21:08.375000,Sales - SMB
1226,Status Response Received,2025-06-11T19:13:34.525000,2025-06-11T19:13:34.525000,Sales - AMER
1155,Status Waiting for Customer,2025-06-11T12:32:08.247000,2025-06-11T12:32:08.247000,Sales - EMEA
1190,Status Waiting for Customer,2025-06-11T19:12:46.816000,2025-06-11T19:12:46.816000,Sales - Enterprise
1257,Status Response Received,2025-06-11T18:07:39.176000,2025-06-11T18:07:39.176000,Sales - Enterprise
1212,Created.,2025-06-11T12:24:07.065000,2025-06-11T12:24:09.023000,Sales - Enterprise
1080,Status Response Received,2025-06-11T12:24:52.229000,2025-06-11T12:25:07.295000,Sales - SMB
1199,Status In Progress,2025-06-11T19:12:33.068000,2025-06-11T19:12:33.068000,Sales - EMEA
1116,Status Waiting for Customer,2025-06-11T19:12:46.816000,2025-06-11T19:12:46.816000,Sales - SMB
1107,Created.,2025-06-11T17:15:32.687000,2025-06-11T17:15:38.225000,Sales - Field
986,Status In Progress,2025-06-11T19:09:47.652000,2025-06-11T19:09:47.652000,Sales - SMB
1071,Created.,2025-06-11T17:15:38.755000,2025-06-11T17:15:40.359000,Sales - EMEA
1125,Status Response Received,2025-06-11T12:21:57.523000,2025-06-11T12:21:57.964000,Sales - EMEA
1080,Status In Progress,2025-06-11T12:22:44.617000,2025-06-11T12:22:45.320000,Sales - Field
1232,Status On Hold,2025-06-11T12:21:07.416000,2025-06-11T12:21:07.622000,Sales - EMEA
1166,Status Escalated,2025-06-11T17:14:54.377000,2025-06-11T17:14:56.021000,Sales - EMEA
1165,Status Escalated,2025-06-11T19:13:48.534000,2025-06-11T19:13:51.640000,Sales - Enterprise
1292,Status Waiting for Customer,2025-06-11T18:07:42.019000,2025-06-11T18:07:42.019000,Sales - Field
1230,Created.,2025-06-11T12:24:09.023000,2025-06-11T12:24:09.831000,Sales - APAC
1085,Status On Hold,2025-06-11T19:10:50.502000,2025-06-11T19:10:50.502000,Sales - APAC
1122,Status In Progress,2025-06-11T12:21:05.994000,2025-06-11T12:21:07.416000,Marketing
1219,Created.,2025-06-11T17:15:40.092000,2025-06-11T17:15:40.092000,Sales - APAC
1162,Status In Progress,2025-06-11T12:21:07.748000,2025-06-11T12:21:08.375000,Sales - APAC
1200,Status Working,2025-06-11T12:24:09.831000,2025-06-11T12:24:10.035000,Sales - EMEA
1193,Status Waiting for Customer,2025-06-11T12:21:44.860000,2025-06-11T12:21:57.523000,Sales - APAC
1265,Status On Hold,2025-06-11T19:10:50.502000,2025-06-11T19:10:50.502000,Sales - SMB
1110,Status In Progress,2025-06-11T12:31:47.945000,2025-06-11T12:31:47.945000,Sales - AMER
1086,Status Waiting for Customer,2025-06-11T12:32:10.124000,2025-06-11T12:32:10.124000,Sales - Field
1240,Status Response Received,2025-06-11T12:32:09.709000,2025-06-11T12:32:09.709000,Sales - AMER
1215,Status In Progress,2025-06-11T19:10:50.931000,2025-06-11T19:10:57.039000,Sales - EMEA
1193,Status In Progress,2025-06-11T12:20:50.695000,2025-06-11T12:20:51.270000,Finance
1092,Status Waiting for Customer,2025-06-11T19:12:46.816000,2025-06-11T19:12:46.816000,Sales - Field
1094,Status Waiting for Customer,2025-06-11T19:13:54.551000,2025-06-11T19:13:55.086000,Finance
1194,Status Escalated,2025-06-11T19:12:39.843000,2025-06-11T19:12:39.843000,Sales - Enterprise
1130,Status Escalated,2025-06-11T19:10:44.247000,2025-06-11T19:10:48.890000,Sales - AMER
1234,Status Escalated,2025-06-11T12:23:01.100000,2025-06-11T12:23:11.151000,Sales - EMEA
1179,Status In Progress,2025-06-11T12:32:07.395000,2025-06-11T12:32:07.395000,Sales - Field
1088,Status Response Received,2025-06-11T19:12:55.384000,2025-06-11T19:12:55.384000,Sales - Field
1174,Status Working,2025-06-11T19:05:28.739000,2025-06-11T19:05:28.739000,Sales - Online
1174,Status Escalated,2025-06-11T19:13:02.223000,2025-06-11T19:13:02.223000,Sales - SMB
1148,Status Response Received,2025-06-11T12:32:06.625000,2025-06-11T12:32:06.625000,Finance
1070,Status Waiting for Customer,2025-06-11T17:15:02.608000,2025-06-11T17:15:02.608000,Sales - Enterprise
1248,Status Escalated,2025-06-11T19:12:39.843000,2025-06-11T19:12:39.843000,Sales - Online
1146,Status Response Received,2025-06-11T19:12:47.378000,2025-06-11T19:12:55.645000,Sales - APAC
1085,Status Working,2025-06-11T17:15:42.783000,2025-06-11T17:15:42.783000,Sales - APAC
1075,Status On Hold,2025-06-11T19:10:11.355000,2025-06-11T19:10:11.355000,Sales - EMEA
1168,Status Escalated,2025-06-11T17:14:54.377000,2025-06-11T17:14:56.021000,Sales - APAC
1282,Status Response Received,2025-06-11T12:24:52.229000,2025-06-11T12:25:07.295000,Sales - SMB
1164,Status Response Received,2025-06-11T19:12:55.384000,2025-06-11T19:12:55.384000,Sales - Field
1107,Status Response Received,2025-06-11T19:13:37.524000,2025-06-11T19:13:37.524000,Sales - Online
1147,Status Waiting for Customer,2025-06-11T12:32:11.344000,2025-06-11T12:32:11.344000,Sales - APAC
1192,Created.,2025-06-11T12:24:07.065000,2025-06-11T12:24:09.023000,Sales - EMEA
1239,Status On Hold,2025-06-11T19:06:29.320000,2025-06-11T19:06:29.320000,Sales - SMB
1263,Status Waiting for Customer,2025-06-11T19:11:04.818000,2025-06-11T19:11:09.315000,Sales - AMER
1065,Status Waiting for Customer,2025-06-11T12:32:11.344000,2025-06-11T12:32:11.344000,Sales - Field
1100,Status Waiting for Customer,2025-06-11T12:31:46.619000,2025-06-11T12:31:50.433000,Sales - Field
1171,Status Waiting for Customer,2025-06-11T12:32:11.344000,2025-06-11T12:32:11.344000,Sales - Online
1163,Status Response Received,2025-06-11T12:31:48.387000,2025-06-11T12:31:48.387000,Sales - Field
1099,Status Escalated,2025-06-11T19:13:48.534000,2025-06-11T19:13:51.640000,Sales - APAC
1083,Status Waiting for Customer,2025-06-11T12:32:11.344000,2025-06-11T12:32:11.344000,Sales - EMEA
1150,Status Escalated,2025-06-11T12:23:12.913000,2025-06-11T12:23:13.062000,Sales - Field
1092,Created.,2025-06-11T12:21:44.860000,2025-06-11T12:21:57.523000,Sales - Field
1089,Status In Progress,2025-06-11T19:12:29.925000,2025-06-11T19:12:29.925000,Sales - AMER
1261,Status In Progress,2025-06-11T12:32:09.709000,2025-06-11T12:32:09.709000,Sales - AMER
1075,Status Escalated,2025-06-11T19:12:33.493000,2025-06-11T19:12:37.722000,Sales - Enterprise
1248,Status Escalated,2025-06-11T19:12:39.843000,2025-06-11T19:12:39.843000,Sales - SMB
1173,Status In Progress,2025-06-11T12:32:11.344000,2025-06-11T12:32:11.344000,Sales - APAC
1284,Created.,2025-06-11T12:21:44.860000,2025-06-11T12:21:57.523000,Sales - Field
1201,Status In Progress,2025-06-11T12:31:47.576000,2025-06-11T12:31:47.576000,Sales - Field
1223,Status Working,2025-06-11T17:15:42.783000,2025-06-11T17:15:42.783000,Sales - EMEA
1143,Status Escalated,2025-06-11T19:12:28.653000,2025-06-11T19:12:28.653000,Sales - Enterprise
1150,Status Escalated,2025-06-11T17:14:54.377000,2025-06-11T17:14:56.021000,Sales - SMB
1255,Status Escalated,2025-06-11T19:13:02.223000,2025-06-11T19:13:02.223000,Sales - Enterprise
1223,Status In Progress,2025-06-11T18:07:57.872000,2025-06-11T18:08:00.053000,Sales - Online
1129,Status On Hold,2025-06-11T19:13:12.018000,2025-06-11T19:13:12.536000,Sales - SMB
1242,Status Escalated,2025-06-11T19:13:48.094000,2025-06-11T19:13:48.094000,Sales - Field
1176,Status In Progress,2025-06-11T12:31:46.619000,2025-06-11T12:31:50.433000,Sales - Field
1182,Status Response Received,2025-06-11T18:08:15.115000,2025-06-11T18:08:15.922000,Sales - SMB
1252,Status Waiting for Customer,2025-06-11T19:11:09.068000,2025-06-11T19:11:09.068000,Sales - Field
1196,Status Working,2025-06-11T19:10:43.736000,2025-06-11T19:10:43.736000,Sales - APAC
1160,Status On Hold,2025-06-11T12:23:11.151000,2025-06-11T12:23:11.935000,Sales - SMB
1226,Status Escalated,2025-06-11T19:13:02.223000,2025-06-11T19:13:02.223000,Sales - Enterprise
1110,Status In Progress,2025-06-11T18:07:37.621000,2025-06-11T18:07:37.621000,Sales - SMB
965,Status In Progress,2025-06-11T19:09:48.431000,2025-06-11T19:09:48.431000,Sales - Field
1164,Status Response Received,2025-06-11T12:31:47.945000,2025-06-11T12:31:47.945000,Sales - APAC
1166,Status Working,2025-06-11T19:13:03.328000,2025-06-11T19:13:12.018000,Sales - APAC
1277,Status Waiting for Customer,2025-06-11T12:32:10.578000,2025-06-11T12:32:10.578000,Sales - Online
1114,Status Escalated,2025-06-11T19:13:48.534000,2025-06-11T19:13:51.640000,Sales - Enterprise
1170,Status Working,2025-06-11T19:05:28.739000,2025-06-11T19:05:28.739000,Sales - AMER
949,Status Waiting for Customer,2025-06-11T19:09:53.641000,2025-06-11T19:09:53.641000,Sales - AMER
1061,Status Waiting for Customer,2025-06-11T18:08:10.491000,2025-06-11T18:08:10.491000,Sales - SMB
1121,Status Response Received,2025-06-11T19:09:51.694000,2025-06-11T19:09:51.694000,Sales - Online
939,Status Waiting for Customer,2025-06-11T19:09:53.641000,2025-06-11T19:09:53.641000,Sales - EMEA
1090,Status Working,2025-06-11T19:13:00.735000,2025-06-11T19:13:02.467000,Sales - SMB
1119,Status In Progress,2025-06-11T12:20:50.695000,2025-06-11T12:20:51.270000,Sales - Online
1259,Status Response Received,2025-06-11T12:24:04.509000,2025-06-11T12:24:04.732000,Sales - Enterprise
1218,Status On Hold,2025-06-11T12:21:09.764000,2025-06-11T12:21:10.105000,Sales - Enterprise
1181,Status Escalated,2025-06-11T19:05:43.872000,2025-06-11T19:06:28.911000,Sales - Enterprise
951,Status In Progress,2025-06-11T19:10:01.271000,2025-06-11T19:10:08.761000,Sales - Enterprise
1296,Status Response Received,2025-06-11T19:12:25.661000,2025-06-11T19:12:26.184000,Sales - Enterprise
1135,Created.,2025-06-11T12:24:07.004000,2025-06-11T12:24:07.065000,Sales - Online
1216,Status On Hold,2025-06-11T19:05:42.145000,2025-06-11T19:05:42.145000,Sales - Online
1250,Status Waiting for Customer,2025-06-11T18:08:10.491000,2025-06-11T18:08:10.491000,Sales - APAC
1013,Status In Progress,2025-06-11T19:09:48.431000,2025-06-11T19:09:48.431000,Sales - AMER
1129,Status Waiting for Customer,2025-06-11T12:23:11.935000,2025-06-11T12:23:12.913000,Sales - Field
1223,Status Waiting for Customer,2025-06-11T12:32:06.113000,2025-06-11T12:32:12.903000,Sales - Enterprise
1104,Status Escalated,2025-06-11T12:23:12.913000,2025-06-11T12:23:13.062000,Sales - EMEA
1261,Status Waiting for Customer,2025-06-11T18:08:08.680000,2025-06-11T18:08:14.611000,Sales - Field
1039,Created.,2025-06-11T19:06:53.992000,2025-06-11T19:06:57.176000,Sales - Online
1233,Status In Progress,2025-06-11T12:23:13.062000,2025-06-11T12:23:13.272000,Sales - EMEA
1255,Status Escalated,2025-06-11T17:14:54.377000,2025-06-11T17:14:56.021000,Sales - EMEA
1177,Status Waiting for Customer,2025-06-11T12:22:44.617000,2025-06-11T12:22:45.320000,Sales - EMEA
1231,Status Response Received,2025-06-11T19:12:55.384000,2025-06-11T19:12:55.384000,Sales - APAC
1061,Created.,2025-06-11T12:24:07.004000,2025-06-11T12:24:07.065000,Sales - Online
969,Status Response Received,2025-06-11T19:09:51.694000,2025-06-11T19:09:51.694000,Sales - EMEA
1106,Status Waiting for Customer,2025-06-11T19:13:17.561000,2025-06-11T19:13:19.243000,Sales - Enterprise
1088,Status On Hold,2025-06-11T12:23:01.100000,2025-06-11T12:23:11.151000,Sales - SMB
1104,Status On Hold,2025-06-11T19:10:11.355000,2025-06-11T19:10:11.355000,Sales - EMEA
1168,Status In Progress,2025-06-11T12:32:09.709000,2025-06-11T12:32:09.709000,Sales - APAC
1103,Status In Progress,2025-06-11T12:21:11.967000,2025-06-11T12:21:12.837000,Sales - Field
1101,Status On Hold,2025-06-11T17:15:00.666000,2025-06-11T17:15:00.666000,Sales - Online
1126,Status In Progress,2025-06-11T12:32:07.395000,2025-06-11T12:32:07.395000,Sales - APAC
1162,Status In Progress,2025-06-11T12:23:01.100000,2025-06-11T12:23:11.151000,Sales - EMEA
1093,Status Waiting for Customer,2025-06-11T12:32:11.344000,2025-06-11T12:32:11.344000,Sales - Online
1063,Status Working,2025-06-11T12:24:07.065000,2025-06-11T12:24:09.023000,Sales - SMB
1244,Status Waiting for Customer,2025-06-11T18:08:08.680000,2025-06-11T18:08:14.611000,Sales - EMEA
1080,Status On Hold,2025-06-11T19:12:44.038000,2025-06-11T19:12:44.038000,Sales - APAC
1263,Status Waiting for Customer,2025-06-11T12:23:11.935000,2025-06-11T12:23:12.913000,Sales - AMER
1109,Created.,2025-06-11T12:24:07.004000,2025-06-11T12:24:07.065000,Sales - Enterprise
1055,Status Escalated,2025-06-11T19:10:09.098000,2025-06-11T19:10:11.611000,Sales - Field
1221,Status Response Received,2025-06-11T19:13:57.659000,2025-06-11T19:13:57.659000,Sales - APAC
1261,Status On Hold,2025-06-11T17:15:01.319000,2025-06-11T17:15:01.319000,Sales - Online
1288,Status Waiting for Customer,2025-06-11T19:13:17.561000,2025-06-11T19:13:19.243000,Sales - EMEA
1161,Created.,2025-06-11T17:15:38.247000,2025-06-11T17:15:38.755000,Sales - Enterprise
1254,Status On Hold,2025-06-11T17:15:00.666000,2025-06-11T17:15:00.666000,Sales - EMEA
1283,Status In Progress,2025-06-11T12:31:53.862000,2025-06-11T12:32:06.113000,Sales - Online
1116,Status Escalated,2025-06-11T19:10:57.620000,2025-06-11T19:11:01.479000,Sales - EMEA
1282,Status Response Received,2025-06-11T19:06:44.452000,2025-06-11T19:06:53.465000,Sales - AMER
1171,Status Response Received,2025-06-11T12:21:44.860000,2025-06-11T12:21:57.523000,Sales - Enterprise
1099,Status Response Received,2025-06-11T19:13:56.567000,2025-06-11T19:13:57.904000,Sales - Enterprise
1097,Status In Progress,2025-06-11T12:20:50.695000,2025-06-11T12:20:51.270000,Sales - Online
1226,Status Response Received,2025-06-11T12:24:04.732000,2025-06-11T12:24:05.015000,Sales - Field
1235,Status In Progress,2025-06-11T17:17:13.444000,2025-06-11T17:17:13.444000,Sales - AMER
1244,Status Waiting for Customer,2025-06-11T12:23:11.151000,2025-06-11T12:23:11.935000,Sales - APAC
1079,Status In Progress,2025-06-11T18:07:36.363000,2025-06-11T18:07:36.363000,Sales - EMEA
1097,Status Working,2025-06-11T17:14:53.854000,2025-06-11T17:14:54.377000,Sales - SMB
1139,Status Escalated,2025-06-11T12:23:13.062000,2025-06-11T12:23:13.272000,Sales - EMEA
1131,Status On Hold,2025-06-11T19:12:45.133000,2025-06-11T19:12:45.742000,Sales - EMEA
1196,Status Escalated,2025-06-11T12:22:44.617000,2025-06-11T12:22:45.320000,Sales - APAC
1130,Status Escalated,2025-06-11T19:05:28.844000,2025-06-11T19:05:43.119000,Sales - EMEA
1231,Status Escalated,2025-06-11T19:10:44.247000,2025-06-11T19:10:48.890000,Sales - AMER
1197,Status Waiting for Customer,2025-06-11T12:31:48.677000,2025-06-11T12:31:48.677000,Sales - AMER
1087,Status Escalated,2025-06-11T19:12:39.778000,2025-06-11T19:12:40.346000,Sales - Enterprise
1071,Status Response Received,2025-06-11T19:06:44.452000,2025-06-11T19:06:53.465000,Sales - Online
1300,Status In Progress,2025-06-11T19:10:50.931000,2025-06-11T19:10:57.039000,Sales - Field
1277,Status Response Received,2025-06-11T12:31:47.945000,2025-06-11T12:31:47.945000,Sales - SMB
1086,Status On Hold,2025-06-11T19:10:50.502000,2025-06-11T19:10:50.502000,Sales - EMEA
974,Status Response Received,2025-06-11T19:09:51.694000,2025-06-11T19:09:51.694000,Sales - EMEA
1149,Status On Hold,2025-06-11T12:21:08.375000,2025-06-11T12:21:09.764000,Sales - APAC
1112,Status On Hold,2025-06-11T12:21:07.622000,2025-06-11T12:21:07.748000,Sales - Online
1139,Status Waiting for Customer,2025-06-11T19:13:55.086000,2025-06-11T19:13:55.995000,Sales - AMER
1073,Status Escalated,2025-06-11T12:19:59.410000,2025-06-11T12:20:00.020000,Sales - SMB
1267,Status Working,2025-06-11T12:24:05.015000,2025-06-11T12:24:07.004000,Sales - Enterprise
1081,Status Working,2025-06-11T17:15:42.783000,2025-06-11T17:15:42.783000,Sales - AMER
1205,Status In Progress,2025-06-11T19:12:29.925000,2025-06-11T19:12:29.925000,Sales - Online
1159,Status Working,2025-06-11T17:14:53.854000,2025-06-11T17:14:54.377000,Sales - Field
1239,Status In Progress,2025-06-11T12:23:11.151000,2025-06-11T12:23:11.935000,Sales - Enterprise
