Case_ID,Activity,duration_seconds,duration_min,Step
958,Status Escalated,2.741181695,0.04568636158333333,Status Escalated
958,Status Waiting for Customer,0.812069196,0.013534486600000001,Status Waiting for Customer
959,Status Escalated,2.473878937,0.04123131561666667,Status Escalated
959,Status In Progress,0.0,0.0,Status In Progress
959,Status Working,0.794543957,0.013242399283333334,Status Working
960,Status In Progress,0.0,0.0,Status In Progress
960,Status Waiting for Customer,0.0,0.0,Status Waiting for Customer
960,Status Working,0.0,0.0,Status Working
962,Status Escalated,2.757787299,0.04596312165,Status Escalated
962,Status In Progress,0.0,0.0,Status In Progress
962,Status On Hold,0.0,0.0,Status On Hold
963,Status Escalated,0.0,0.0,Status Escalated
963,Status In Progress,0.0,0.0,Status In Progress
963,Status Response Received,0.0,0.0,Status Response Received
964,Status In Progress,0.0,0.0,Status In Progress
965,Status In Progress,0.0,0.0,Status In Progress
965,Status Waiting for Customer,0.0,0.0,Status Waiting for Customer
966,Status Escalated,0.0,0.0,Status Escalated
966,Status In Progress,0.0,0.0,Status In Progress
966,Status Response Received,0.0,0.0,Status Response Received
967,Status In Progress,8.032631167,0.13387718611666666,Status In Progress
967,Status Waiting for Customer,0.0,0.0,Status Waiting for Customer
967,Status Working,0.0,0.0,Status Working
968,Status In Progress,0.0,0.0,Status In Progress
968,Status On Hold,0.0,0.0,Status On Hold
968,Status Working,0.0,0.0,Status Working
969,Status Response Received,0.0,0.0,Status Response Received
969,Status Waiting for Customer,0.0,0.0,Status Waiting for Customer
970,Status On Hold,0.0,0.0,Status On Hold
970,Status Response Received,0.0,0.0,Status Response Received
971,Status On Hold,0.0,0.0,Status On Hold
971,Status Waiting for Customer,0.0,0.0,Status Waiting for Customer
973,Status Working,0.0,0.0,Status Working
974,Status In Progress,0.0,0.0,Status In Progress
974,Status Response Received,0.0,0.0,Status Response Received
975,Status Escalated,127.0418708,2.1173645133333334,Status Escalated
975,Status In Progress,0.0,0.0,Status In Progress
975,Status Waiting for Customer,0.0,0.0,Status Waiting for Customer
976,Status Waiting for Customer,0.0,0.0,Status Waiting for Customer
976,Status Working,0.709590204,0.011826503399999999,Status Working
977,Status In Progress,6.971557689,0.11619262815,Status In Progress
978,Status In Progress,0.0,0.0,Status In Progress
979,Created.,3.066447783,0.05110746305,Created.
979,Status In Progress,7.250561894,0.12084269823333332,Status In Progress
979,Status On Hold,0.0,0.0,Status On Hold
979,Status Waiting for Customer,0.0,0.0,Status Waiting for Customer
980,Status Escalated,113.6980921,1.8949682016666667,Status Escalated
980,Status Response Received,0.0,0.0,Status Response Received
981,Status Response Received,0.0,0.0,Status Response Received
981,Status Waiting for Customer,0.948025982,0.015800433033333332,Status Waiting for Customer
982,Status In Progress,0.0,0.0,Status In Progress
982,Status Waiting for Customer,0.809485204,0.013491420066666667,Status Waiting for Customer
983,Created.,3.434310286,0.05723850476666667,Created.
983,Status On Hold,0.0,0.0,Status On Hold
983,Status Working,0.701851025,0.011697517083333333,Status Working
984,Status Escalated,113.2907805,1.888179675,Status Escalated
984,Status In Progress,0.0,0.0,Status In Progress
984,Status Waiting for Customer,0.863510784,0.0143918464,Status Waiting for Customer
985,Status On Hold,0.0,0.0,Status On Hold
985,Status Waiting for Customer,0.960233276,0.016003887933333332,Status Waiting for Customer
986,Status Escalated,222.2715352,3.7045255866666666,Status Escalated
986,Status In Progress,0.0,0.0,Status In Progress
986,Status Waiting for Customer,0.0,0.0,Status Waiting for Customer
987,Status Escalated,4.851248687,0.08085414478333333,Status Escalated
987,Status In Progress,0.0,0.0,Status In Progress
987,Status Response Received,0.0,0.0,Status Response Received
988,Status In Progress,0.0,0.0,Status In Progress
988,Status On Hold,0.0,0.0,Status On Hold
988,Status Waiting for Customer,0.0,0.0,Status Waiting for Customer
988,Status Working,0.0,0.0,Status Working
989,Status Escalated,114.8075829,1.913459715,Status Escalated
989,Status Response Received,0.0,0.0,Status Response Received
989,Status Waiting for Customer,0.820988073,0.01368313455,Status Waiting for Customer
990,Status Escalated,130.057434488,2.1676239081333337,Status Escalated
990,Status Response Received,0.0,0.0,Status Response Received
990,Status Waiting for Customer,0.0,0.0,Status Waiting for Customer
990,Status Working,0.670696,0.011178266666666666,Status Working
991,Created.,2.921412812,0.04869021353333333,Created.
991,Status Escalated,121.3551199,2.022585331666667,Status Escalated
991,Status In Progress,7.622833307,0.12704722178333333,Status In Progress
991,Status Waiting for Customer,0.0,0.0,Status Waiting for Customer
992,Status Escalated,2.610319578,0.0435053263,Status Escalated
992,Status In Progress,7.26364236,0.121060706,Status In Progress
992,Status Working,0.0,0.0,Status Working
993,Status Response Received,0.0,0.0,Status Response Received
994,Status Waiting for Customer,0.815642767,0.013594046116666668,Status Waiting for Customer
995,Status Escalated,241.418657,4.023644283333334,Status Escalated
996,Status Escalated,118.849123061,1.9808187176833334,Status Escalated
997,Status Working,0.0,0.0,Status Working
998,Status On Hold,0.0,0.0,Status On Hold
998,Status Response Received,0.0,0.0,Status Response Received
998,Status Working,0.0,0.0,Status Working
999,Status Waiting for Customer,0.815053572,0.013584226199999999,Status Waiting for Customer
1000,Status In Progress,0.0,0.0,Status In Progress
1001,Status Escalated,2.334313745,0.03890522908333334,Status Escalated
1001,Status In Progress,0.0,0.0,Status In Progress
1003,Status Escalated,110.9996885,1.8499948083333335,Status Escalated
1004,Created.,3.433269412,0.057221156866666664,Created.
1004,Status In Progress,0.0,0.0,Status In Progress
1005,Status Response Received,0.0,0.0,Status Response Received
1007,Status Waiting for Customer,0.0,0.0,Status Waiting for Customer
1008,Created.,6.220730754,0.1036788459,Created.
1008,Status Response Received,0.0,0.0,Status Response Received
1009,Status On Hold,0.0,0.0,Status On Hold
1009,Status Response Received,0.0,0.0,Status Response Received
1009,Status Waiting for Customer,0.0,0.0,Status Waiting for Customer
1010,Status In Progress,7.094502758,0.11824171263333333,Status In Progress
1010,Status Response Received,0.0,0.0,Status Response Received
1011,Status In Progress,0.0,0.0,Status In Progress
1011,Status Working,0.0,0.0,Status Working
1012,Status In Progress,0.0,0.0,Status In Progress
1012,Status Working,0.0,0.0,Status Working
1013,Created.,2.875041352,0.04791735586666667,Created.
1013,Status Escalated,225.7163793,3.761939655,Status Escalated
1013,Status In Progress,0.0,0.0,Status In Progress
1013,Status Working,0.73391483,0.012231913833333333,Status Working
1014,Created.,3.271926158,0.05453210263333333,Created.
1014,Status Escalated,0.0,0.0,Status Escalated
1014,Status Response Received,0.0,0.0,Status Response Received
1014,Status Working,0.694409896,0.011573498266666668,Status Working
1015,Status Escalated,0.0,0.0,Status Escalated
1015,Status Response Received,0.0,0.0,Status Response Received
1015,Status Waiting for Customer,0.0,0.0,Status Waiting for Customer
1016,Status Escalated,0.0,0.0,Status Escalated
1016,Status Response Received,0.0,0.0,Status Response Received
1017,Created.,3.19063516,0.05317725266666666,Created.
1017,Status In Progress,7.904430863,0.13174051438333334,Status In Progress
1017,Status On Hold,0.0,0.0,Status On Hold
1018,Status Escalated,0.0,0.0,Status Escalated
1018,Status On Hold,0.0,0.0,Status On Hold
1018,Status Response Received,0.0,0.0,Status Response Received
1018,Status Waiting for Customer,0.0,0.0,Status Waiting for Customer
1019,Status Response Received,0.0,0.0,Status Response Received
1020,Status Response Received,0.0,0.0,Status Response Received
1021,Created.,3.023324798,0.050388746633333335,Created.
1021,Status Response Received,0.0,0.0,Status Response Received
1021,Status Waiting for Customer,0.0,0.0,Status Waiting for Customer
1022,Status Response Received,0.0,0.0,Status Response Received
1022,Status Waiting for Customer,0.964445518,0.016074091966666666,Status Waiting for Customer
1023,Status On Hold,0.0,0.0,Status On Hold
1023,Status Waiting for Customer,0.0,0.0,Status Waiting for Customer
1024,Status Escalated,116.5740419,1.9429006983333332,Status Escalated
1024,Status Waiting for Customer,0.0,0.0,Status Waiting for Customer
1025,Status Escalated,2.272965431,0.03788275718333333,Status Escalated
1025,Status Response Received,0.0,0.0,Status Response Received
1026,Status Response Received,0.0,0.0,Status Response Received
1026,Status Waiting for Customer,0.0,0.0,Status Waiting for Customer
1027,Status In Progress,8.011176433,0.13351960721666664,Status In Progress
1027,Status On Hold,0.0,0.0,Status On Hold
1027,Status Response Received,0.0,0.0,Status Response Received
1027,Status Waiting for Customer,0.881454641,0.014690910683333334,Status Waiting for Customer
1028,Created.,2.882996101,0.04804993501666666,Created.
1028,Status Response Received,0.0,0.0,Status Response Received
1029,Status Escalated,116.8130845,1.9468847416666668,Status Escalated
1029,Status On Hold,0.0,0.0,Status On Hold
1029,Status Response Received,0.0,0.0,Status Response Received
1029,Status Working,0.0,0.0,Status Working
1030,Status Waiting for Customer,0.85647819,0.0142746365,Status Waiting for Customer
1030,Status Working,0.0,0.0,Status Working
1031,Status In Progress,0.0,0.0,Status In Progress
1032,Status Escalated,224.0865189,3.734775315,Status Escalated
1032,Status In Progress,6.758574737,0.11264291228333333,Status In Progress
1032,Status Response Received,0.0,0.0,Status Response Received
1033,Status Response Received,0.0,0.0,Status Response Received
1034,Created.,3.413107726,0.05688512876666666,Created.
1034,Status In Progress,0.0,0.0,Status In Progress
1034,Status Waiting for Customer,0.0,0.0,Status Waiting for Customer
1034,Status Working,0.778912977,0.012981882949999999,Status Working
1035,Status Escalated,116.7616516,1.9460275266666665,Status Escalated
1035,Status In Progress,0.0,0.0,Status In Progress
1035,Status Working,0.0,0.0,Status Working
1036,Status In Progress,0.0,0.0,Status In Progress
1037,Status Escalated,114.5600095,1.9093334916666669,Status Escalated
1038,Status In Progress,7.470422236,0.12450703726666666,Status In Progress
1038,Status Response Received,0.0,0.0,Status Response Received
1039,Created.,3.040700882,0.050678348033333334,Created.
1040,Status Response Received,0.0,0.0,Status Response Received
1040,Status Waiting for Customer,0.0,0.0,Status Waiting for Customer
1041,Status Escalated,0.0,0.0,Status Escalated
1041,Status In Progress,0.0,0.0,Status In Progress
1041,Status On Hold,0.0,0.0,Status On Hold
1042,Status Response Received,0.0,0.0,Status Response Received
1042,Status Working,0.701865589,0.011697759816666665,Status Working
1043,Status Working,0.0,0.0,Status Working
1044,Status Escalated,121.8126223,2.0302103716666666,Status Escalated
1044,Status Response Received,0.0,0.0,Status Response Received
1045,Status Escalated,2.489145124,0.04148575206666667,Status Escalated
1045,Status On Hold,0.0,0.0,Status On Hold
1046,Status Escalated,1.753777723,0.029229628716666668,Status Escalated
1046,Status On Hold,1.125671466,0.0187611911,Status On Hold
1046,Status Working,0.516217617,0.00860362695,Status Working
1047,Status Escalated,112.1712096,1.86952016,Status Escalated
1047,Status In Progress,8.199165992,0.13665276653333333,Status In Progress
1047,Status On Hold,0.0,0.0,Status On Hold
1047,Status Response Received,0.0,0.0,Status Response Received
1047,Status Waiting for Customer,0.0,0.0,Status Waiting for Customer
1047,Status Working,0.730325305,0.012172088416666667,Status Working
1048,Created.,0.0,0.0,Created.
1048,Status In Progress,0.556097365,0.009268289416666665,Status In Progress
1048,Status Waiting for Customer,2.9649839190000002,0.049416398650000005,Status Waiting for Customer
1049,Created.,2.995614388,0.049926906466666664,Created.
1049,Status Escalated,1.572678782,0.026211313033333336,Status Escalated
1049,Status In Progress,5.142107659,0.08570179431666666,Status In Progress
1049,Status On Hold,0.0,0.0,Status On Hold
1049,Status Response Received,1.361852774,0.02269754623333333,Status Response Received
1049,Status Waiting for Customer,0.0,0.0,Status Waiting for Customer
1050,Created.,2.598491271,0.04330818785,Created.
1050,Status Escalated,0.0,0.0,Status Escalated
1050,Status In Progress,8.370595634,0.13950992723333336,Status In Progress
1050,Status Response Received,1.316685754,0.021944762566666668,Status Response Received
1050,Status Waiting for Customer,0.966435001,0.016107250016666668,Status Waiting for Customer
1050,Status Working,0.500644641,0.00834407735,Status Working
1051,Status Escalated,3.349218702,0.0558203117,Status Escalated
1051,Status In Progress,6.787216677,0.11312027795,Status In Progress
1051,Status Response Received,0.0,0.0,Status Response Received
1051,Status Waiting for Customer,0.851553006,0.0141925501,Status Waiting for Customer
1051,Status Working,0.731542298,0.012192371633333334,Status Working
1052,Created.,4.275916574,0.07126527623333333,Created.
1052,Status Escalated,0.0,0.0,Status Escalated
1052,Status In Progress,0.0,0.0,Status In Progress
1052,Status On Hold,0.0,0.0,Status On Hold
1052,Status Response Received,0.0,0.0,Status Response Received
1052,Status Working,0.567508421,0.009458473683333333,Status Working
1053,Status Escalated,1.590126421,0.026502107016666665,Status Escalated
1053,Status In Progress,0.0,0.0,Status In Progress
1053,Status On Hold,3.2756599829999997,0.05459433304999999,Status On Hold
1053,Status Response Received,1.232490891,0.02054151485,Status Response Received
1053,Status Waiting for Customer,0.859109232,0.0143184872,Status Waiting for Customer
1053,Status Working,0.490419958,0.008173665966666667,Status Working
1054,Created.,0.0,0.0,Created.
1054,Status Escalated,1.70864674,0.028477445666666667,Status Escalated
1054,Status On Hold,0.0,0.0,Status On Hold
1054,Status Waiting for Customer,0.0,0.0,Status Waiting for Customer
1054,Status Working,0.0,0.0,Status Working
1055,Created.,6.256532255,0.10427553758333333,Created.
1055,Status Escalated,132.357960902,2.2059660150333333,Status Escalated
1055,Status In Progress,0.544615229,0.009076920483333334,Status In Progress
1055,Status On Hold,0.0,0.0,Status On Hold
1055,Status Response Received,0.0,0.0,Status Response Received
1055,Status Waiting for Customer,1.469682244,0.024494704066666664,Status Waiting for Customer
1055,Status Working,0.0,0.0,Status Working
1056,Created.,1.390224141,0.02317040235,Created.
1056,Status In Progress,7.553235066,0.1258872511,Status In Progress
1056,Status On Hold,3.3920456000000003,0.05653409333333334,Status On Hold
1056,Status Response Received,0.0,0.0,Status Response Received
1056,Status Waiting for Customer,0.0,0.0,Status Waiting for Customer
1057,Created.,0.0,0.0,Created.
1057,Status Escalated,4.72600404,0.078766734,Status Escalated
1057,Status In Progress,7.044697555,0.11741162591666666,Status In Progress
1057,Status Response Received,1.214562984,0.020242716400000003,Status Response Received
1057,Status Waiting for Customer,1.522258482,0.0253709747,Status Waiting for Customer
1057,Status Working,0.790535787,0.01317559645,Status Working
1058,Created.,1.458064525,0.024301075416666665,Created.
1058,Status In Progress,14.232173439,0.23720289065,Status In Progress
1058,Status On Hold,1.37515601,0.022919266833333334,Status On Hold
1058,Status Response Received,0.409665723,0.00682776205,Status Response Received
1058,Status Working,1.6996586040000001,0.0283276434,Status Working
1059,Created.,2.56646478,0.042774413,Created.
1059,Status Escalated,2.61585989,0.043597664833333334,Status Escalated
1059,Status In Progress,16.984802583,0.28308004305,Status In Progress
1059,Status On Hold,1.150170679,0.019169511316666665,Status On Hold
1059,Status Response Received,48.904023532,0.8150670588666666,Status Response Received
1059,Status Waiting for Customer,12.276026842,0.20460044736666666,Status Waiting for Customer
1059,Status Working,13.601098111999999,0.2266849685333333,Status Working
1060,Created.,0.500415322,0.008340255366666667,Created.
1060,Status Escalated,5.608210834,0.09347018056666667,Status Escalated
1060,Status In Progress,1.914188003,0.03190313338333333,Status In Progress
1060,Status On Hold,6.3088691279999995,0.10514781879999999,Status On Hold
1060,Status Response Received,24.34740006,0.40579000099999996,Status Response Received
1060,Status Waiting for Customer,9.159993266,0.15266655443333335,Status Waiting for Customer
1060,Status Working,0.559253415,0.00932089025,Status Working
1061,Created.,0.060659198,0.0010109866333333332,Created.
1061,Status Escalated,1.196172429,0.01993620715,Status Escalated
1061,Status In Progress,8.296019445999999,0.13826699076666665,Status In Progress
1061,Status On Hold,0.0,0.0,Status On Hold
1061,Status Response Received,13.6031506,0.22671917666666666,Status Response Received
1061,Status Waiting for Customer,13.891408209,0.23152347015,Status Waiting for Customer
1061,Status Working,3.649694636,0.06082824393333333,Status Working
1062,Created.,2.654918035,0.04424863391666667,Created.
1062,Status Escalated,10.129026354999999,0.16881710591666665,Status Escalated
1062,Status In Progress,2.842255338,0.0473709223,Status In Progress
1062,Status On Hold,7.293118523,0.12155197538333334,Status On Hold
1062,Status Response Received,15.300181513,0.2550030252166667,Status Response Received
1062,Status Waiting for Customer,27.063793563,0.45106322605,Status Waiting for Customer
1062,Status Working,18.115189250999997,0.30191982084999996,Status Working
1063,Created.,3.6116896,0.060194826666666666,Created.
1063,Status Escalated,1.464130435,0.024402173916666665,Status Escalated
1063,Status In Progress,13.08007924,0.21800132066666666,Status In Progress
1063,Status On Hold,0.528635404,0.008810590066666667,Status On Hold
1063,Status Response Received,5.775078098,0.09625130163333333,Status Response Received
1063,Status Waiting for Customer,15.961847767999998,0.2660307961333333,Status Waiting for Customer
1063,Status Working,2.685897571,0.04476495951666667,Status Working
1064,Created.,24.543732178,0.4090622029666667,Created.
1064,Status Escalated,3.231726653,0.053862110883333335,Status Escalated
1064,Status In Progress,2.953833096,0.0492305516,Status In Progress
1064,Status On Hold,1.690349809,0.028172496816666667,Status On Hold
1064,Status Response Received,13.842395717,0.23070659528333334,Status Response Received
1064,Status Waiting for Customer,20.472380256,0.3412063376,Status Waiting for Customer
1064,Status Working,13.17221693,0.21953694883333333,Status Working
1065,Created.,56.359290011000006,0.9393215001833334,Created.
1065,Status Escalated,9.618818097000002,0.16031363495000003,Status Escalated
1065,Status In Progress,4.336816337,0.07228027228333334,Status In Progress
1065,Status On Hold,0.432934263,0.007215571049999999,Status On Hold
1065,Status Response Received,3.51801387,0.0586335645,Status Response Received
1065,Status Waiting for Customer,26.089638652999998,0.4348273108833333,Status Waiting for Customer
1065,Status Working,0.517871659,0.008631194316666667,Status Working
1066,Created.,25.579431332000002,0.42632385553333335,Created.
1066,Status Escalated,4.884189241,0.08140315401666666,Status Escalated
1066,Status In Progress,3.080162979,0.05133604965,Status In Progress
1066,Status On Hold,2.649410509,0.04415684181666667,Status On Hold
1066,Status Response Received,25.117910361,0.41863183935,Status Response Received
1066,Status Waiting for Customer,11.572300031000001,0.19287166718333335,Status Waiting for Customer
1066,Status Working,0.0,0.0,Status Working
1067,Created.,7.813254727,0.13022091211666667,Created.
1067,Status Escalated,12.554269428000001,0.20923782380000003,Status Escalated
1067,Status In Progress,26.978233749999998,0.44963722916666665,Status In Progress
1067,Status On Hold,1.8304252989999998,0.030507088316666663,Status On Hold
1067,Status Response Received,19.581756527,0.32636260878333334,Status Response Received
1067,Status Waiting for Customer,18.267381639,0.30445636065,Status Waiting for Customer
1067,Status Working,12.414195512,0.20690325853333333,Status Working
1068,Created.,34.284908135,0.5714151355833333,Created.
1068,Status Escalated,153.358901353,2.5559816892166665,Status Escalated
1068,Status In Progress,29.771025705,0.49618376175,Status In Progress
1068,Status On Hold,8.714285504,0.14523809173333332,Status On Hold
1068,Status Response Received,17.011495378,0.28352492296666665,Status Response Received
1068,Status Waiting for Customer,19.207913301,0.32013188835,Status Waiting for Customer
1068,Status Working,0.523643051,0.008727384183333332,Status Working
1069,Created.,6.272560018,0.10454266696666667,Created.
1069,Status Escalated,48.389656822,0.8064942803666667,Status Escalated
1069,Status In Progress,14.496021234999999,0.24160035391666665,Status In Progress
1069,Status On Hold,9.89266401,0.1648777335,Status On Hold
1069,Status Response Received,35.849010924,0.5974835154,Status Response Received
1069,Status Waiting for Customer,39.557626354,0.6592937725666667,Status Waiting for Customer
1069,Status Working,13.30675655,0.22177927583333332,Status Working
1070,Created.,3.769339852,0.06282233086666666,Created.
1070,Status Escalated,31.246855514,0.5207809252333333,Status Escalated
1070,Status In Progress,19.498757417,0.32497929028333333,Status In Progress
1070,Status On Hold,0.0,0.0,Status On Hold
1070,Status Response Received,90.305777333,1.5050962888833332,Status Response Received
1070,Status Waiting for Customer,23.791004311000002,0.3965167385166667,Status Waiting for Customer
1070,Status Working,1.041740237,0.01736233728333333,Status Working
1071,Created.,14.081467142000001,0.23469111903333334,Created.
1071,Status Escalated,16.054111148,0.26756851913333335,Status Escalated
1071,Status In Progress,16.279696512999998,0.27132827521666664,Status In Progress
1071,Status On Hold,7.920262252000001,0.13200437086666666,Status On Hold
1071,Status Response Received,12.342567656,0.20570946093333334,Status Response Received
1071,Status Waiting for Customer,8.907991859,0.14846653098333332,Status Waiting for Customer
1071,Status Working,0.8267875929999999,0.013779793216666666,Status Working
1072,Created.,11.521877006,0.19203128343333334,Created.
1072,Status Escalated,1.172668606,0.019544476766666666,Status Escalated
1072,Status In Progress,20.230275437000003,0.33717125728333336,Status In Progress
1072,Status On Hold,2.351019599,0.03918365998333333,Status On Hold
1072,Status Response Received,127.841815043,2.1306969173833332,Status Response Received
1072,Status Waiting for Customer,16.694764362999997,0.2782460727166666,Status Waiting for Customer
1072,Status Working,0.0,0.0,Status Working
1073,Created.,10.764156816,0.1794026136,Created.
1073,Status Escalated,5.822948459,0.09704914098333334,Status Escalated
1073,Status In Progress,6.465264727,0.10775441211666667,Status In Progress
1073,Status On Hold,3.4029598539999997,0.05671599756666666,Status On Hold
1073,Status Response Received,90.722486569,1.5120414428166666,Status Response Received
1073,Status Waiting for Customer,24.670935619999998,0.4111822603333333,Status Waiting for Customer
1073,Status Working,0.282930397,0.004715506616666667,Status Working
1074,Created.,15.78523258,0.26308720966666665,Created.
1074,Status Escalated,8.405050783,0.14008417971666667,Status Escalated
1074,Status In Progress,13.522740819,0.22537901365,Status In Progress
1074,Status On Hold,14.843491740000001,0.24739152900000003,Status On Hold
1074,Status Response Received,13.33755566,0.22229259433333332,Status Response Received
1074,Status Waiting for Customer,16.250170322,0.2708361720333333,Status Waiting for Customer
1074,Status Working,0.5679476569999999,0.009465794283333332,Status Working
1075,Created.,2.135428702,0.035590478366666664,Created.
1075,Status Escalated,10.313914544000001,0.17189857573333336,Status Escalated
1075,Status In Progress,1.578409887,0.026306831450000002,Status In Progress
1075,Status On Hold,4.070776483,0.06784627471666667,Status On Hold
1075,Status Response Received,17.182112698,0.2863685449666667,Status Response Received
1075,Status Waiting for Customer,11.737477539,0.19562462565,Status Waiting for Customer
1075,Status Working,22.806204703,0.3801034117166667,Status Working
1076,Created.,8.772659651,0.14621099418333333,Created.
1076,Status Escalated,22.957924573,0.38263207621666667,Status Escalated
1076,Status In Progress,13.749864532,0.22916440886666667,Status In Progress
1076,Status On Hold,18.810755642,0.3135125940333333,Status On Hold
1076,Status Response Received,21.31649054,0.35527484233333334,Status Response Received
1076,Status Waiting for Customer,5.4800208480000006,0.09133368080000001,Status Waiting for Customer
1076,Status Working,2.789370225,0.04648950375,Status Working
1077,Created.,3.941285154,0.0656880859,Created.
1077,Status Escalated,12.75920844,0.212653474,Status Escalated
1077,Status In Progress,30.682413368,0.5113735561333334,Status In Progress
1077,Status On Hold,3.726060988,0.062101016466666666,Status On Hold
1077,Status Response Received,9.118660445,0.15197767408333332,Status Response Received
1077,Status Waiting for Customer,6.396300564,0.10660500939999999,Status Waiting for Customer
1077,Status Working,0.472886016,0.0078814336,Status Working
1078,Created.,45.670263573,0.76117105955,Created.
1078,Status Escalated,5.266552375,0.08777587291666666,Status Escalated
1078,Status In Progress,5.702039705,0.09503399508333334,Status In Progress
1078,Status On Hold,13.618018501,0.22696697501666666,Status On Hold
1078,Status Response Received,31.411031764999997,0.5235171960833332,Status Response Received
1078,Status Waiting for Customer,1.624904824,0.027081747066666665,Status Waiting for Customer
1078,Status Working,2.652578868,0.0442096478,Status Working
1079,Created.,31.132611097999998,0.5188768516333333,Created.
1079,Status Escalated,5.329259648999999,0.08882099414999998,Status Escalated
1079,Status In Progress,11.918042098,0.19863403496666668,Status In Progress
1079,Status On Hold,13.765779496,0.22942965826666667,Status On Hold
1079,Status Response Received,0.0,0.0,Status Response Received
1079,Status Waiting for Customer,10.95621666,0.18260361100000003,Status Waiting for Customer
1079,Status Working,0.239443134,0.0039907189,Status Working
1080,Created.,0.0,0.0,Created.
1080,Status Escalated,4.652069877,0.07753449794999999,Status Escalated
1080,Status In Progress,5.973345128,0.09955575213333333,Status In Progress
1080,Status On Hold,13.82167179,0.2303611965,Status On Hold
1080,Status Response Received,24.116702533,0.4019450422166667,Status Response Received
1080,Status Waiting for Customer,20.532207398,0.34220345663333335,Status Waiting for Customer
1080,Status Working,3.077872665,0.051297877750000005,Status Working
1081,Created.,1.19430598,0.019905099666666665,Created.
1081,Status Escalated,14.117075532,0.2352845922,Status Escalated
1081,Status In Progress,7.671384592,0.12785640986666666,Status In Progress
1081,Status On Hold,4.195465752,0.0699244292,Status On Hold
1081,Status Response Received,2.4249735980000002,0.04041622663333334,Status Response Received
1081,Status Waiting for Customer,24.481486253,0.40802477088333333,Status Waiting for Customer
1081,Status Working,1.073598583,0.01789330971666667,Status Working
1082,Created.,24.35233357,0.4058722261666666,Created.
